Observation ID,Population,Age,Weight (g),Flip,Headshake,Caching,Open Mouth,Stab Mouth,Stab Abdomen,Stab Limbs,Stab Glands,Stab Cloaca,Wipe Beak,Stab Dorsal,Latency,Latency Time (s),Holdprey,Holdprey Time (s),Consumption,Consumption Time (s),Pull Mouth,Pul Mouth  Time (s),Pull Abdomen,Pull Abdomen Time (s),Pull Limbs,Pull Limbs Time (s),Pull Glands,Pull Glands Time (s),Pull Cloaca,Pull Cloaca Time (s),Grabbing,Grabbing Time (s),Crow on Ground,Crow on Ground Time (s),Unknown,Unknown Time (s)
1001,Exposed,Juvenile,30,0,2,0,2,5,0,1,0,0,0,0,1,217.378,6,319.968,11,80.513,30,160.266,0,0,0,0,0,0,0,0,1,0.52,0,0,9,25.998
1006,Exposed,Adult,73,9,49,0,25,31,1,3,0,0,22,6,1,10.439,44,1160.648,94,210.452,119,816.832,5,2.92,7,10.16,0,0,5,11.598,17,21.639,1,60.594,16,29.397
1168,Exposed,Adult,14,3,0,0,0,1,0,1,1,0,2,0,1,22.999,6,403.212,34,88.234,17,60.395,15,57.715,15,36.357,1,1.72,7,24.718,9,12.358,0,0,1,18.599
7712,Exposed,Adult,31,5,10,0,0,0,0,0,0,0,16,0,1,125.273,10,218.948,30,54.118,1,2.6,14,31.678,14,39.038,0,0,1,1.2,27,88.676,0,0,0,0
2401,Exposed,Juvenile,41,7,9,0,8,0,0,0,0,0,2,0,1,387.339,4,80.755,0,0,11,23.279,1,0.52,0,0,0,0,0,0,16,59.196,0,0,0,0
7059,Exposed,Adult,31,2,51,0,2,9,3,0,0,0,7,2,1,16.999,30,844.71,38,49.439,65,180.747,23,108.434,9,10.2,0,0,8,39.717,32,64.395,0,0,1,7.72
1787,Naive,Adult,14,1,0,0,0,0,0,0,0,0,0,0,1,2.72,2,13.24,7,19.528,0,0,0,0,5,9.32,0,0,0,0,8,24.558,2,57.476,0,0
4352,Naive,Juvenile,80,3,0,0,1,0,0,1,0,0,2,0,1,3.12,7,314.247,8,16.399,12,96.709,4,15.438,11,81.632,0,0,0,0,7,25.237,1,135.827,2,3.199
4895,Naive,Adult,42,2,0,0,0,0,0,10,0,0,0,0,1,45.796,1,114.433,6,23.238,0,0,0,0,8,74.237,0,0,0,0,2,8.92,16,1374.431,0,0
9671,Naive,Adult,16,2,3,0,0,7,0,0,0,0,0,0,1,36.398,3,86.396,22,63.235,11,21.68,0,0,4,5.44,0,0,1,0.6,12,45.798,0,0,0,0
7102,Naive,Adult,31,3,0,0,0,0,0,0,0,0,0,0,1,17.799,5,182.47,21,36,0,0,10,56.316,9,22.759,0,0,8,26.678,6,17.639,0,0,0,0
8848,Naive,Adult,63,2,13,0,1,0,0,0,0,0,0,0,1,8.599,2,99.994,2,2.24,1,0.68,7,18.319,5,26.277,0,0,1,2.6,6,34.478,4,1484.908,0,0